Q,94,92,676
F,41,14,689
D,80,88,870
K,61,65,31
I,55,58,659
K,12,1,306
Z,25,66,798
J,45,34,789
U,30,98,133
W,54,25,193
R,40,39,16
C,24,0,794
Z,96,10,649
J,49,63,201
Q,13,88,931
K,15,99,601
I,5,55,130
G,58,96,644
Z,78,18,521
I,95,90,902
T,69,47,938
E,42,31,386
Q,28,36,156
G,42,82,583
M,73,62,973
N,79,14,663
X,57,87,868
J,43,1,771
V,91,58,464
V,83,56,703
Q,30,23,215
U,5,31,768
F,88,63,11
S,86,20,875
C,94,26,371
L,81,23,595
D,28,32,311
Q,55,18,862
S,1,40,538
L,85,57,658
X,42,54,916
Z,9,73,410
W,70,75,707
J,66,81,771
J,83,60,786
K,7,73,206
U,5,36,887
B,33,20,621
R,25,27,993
K,22,82,538
D,5,8,38
K,89,23,739
X,6,3,383
A,53,34,189
J,53,20,760
Q,53,8,74
U,77,84,523
C,67,71,383
C,75,10,821
N,38,61,477
S,4,51,722
F,94,56,247
M,61,14,930
S,74,44,426
I,46,60,409
O,57,92,29
D,4,4,981
B,32,36,274
H,8,81,471
E,50,12,589
C,68,66,405
X,46,23,121
N,27,12,916
A,73,55,232
X,42,82,758
K,9,50,42
N,83,22,790
U,16,27,597
O,79,44,214
P,10,94,88
R,40,23,576
N,67,32,433
U,30,99,556
Q,69,74,485
B,92,40,332
Y,51,57,640
K,58,15,614
X,49,28,728
X,1,34,923
Z,4,98,933
F,41,97,377
A,11,77,126
T,88,89,790
F,83,16,820
E,4,19,548
E,62,81,315
F,1,1,971
W,44,55,576
R,67,55,638
Y,43,86,737
M,39,79,465
U,88,8,553
V,48,66,801
M,98,7,794
C,84,79,974
D,59,51,822
R,15,98,257
A,5,47,238
S,82,30,386
J,27,47,475
I,19,13,28
O,37,89,311
Q,43,55,599
Y,69,6,678
V,76,76,127
Q,71,90,205
V,47,64,123
J,78,6,300
O,77,24,894
Z,56,70,590
R,82,17,337
M,81,15,793
I,75,68,157
S,56,6,838
S,7,49,263
U,86,92,877
P,34,83,541
E,91,83,732
P,97,61,98
S,85,9,664
W,92,40,165
C,64,56,52
T,95,57,47
K,91,23,976
O,7,75,674
E,95,2,534
U,23,20,139
R,6,90,544
W,13,79,585
R,91,95,747
L,53,56,340
V,45,7,919
N,87,36,114
A,19,31,202
O,28,95,911
I,60,93,187
D,29,13,541
O,35,47,602
D,63,94,234
Z,25,1,434
W,6,65,496
F,16,90,702
P,17,89,381
T,2,91,56
U,61,74,507
J,94,32,262
G,50,95,497
C,49,86,968
S,84,56,324
Q,15,15,68
U,56,2,818
X,21,24,939
H,40,5,486
C,36,84,827
I,38,54,75
L,46,9,279
N,17,89,909
F,34,47,761
A,64,27,153
G,29,4,834
R,64,74,163
V,6,14,911
H,24,82,720
Q,65,51,762
U,40,74,919
O,62,19,708
W,99,77,684
I,85,87,997
R,78,26,472
X,35,7,424
H,45,89,881
X,89,76,456
O,97,77,66
T,59,84,381
G,51,93,62
I,98,16,658
N,1,89,358
T,21,23,435
P,61,5,928
A,81,57,975
U,18,12,855
Q,81,62,237
M,6,0,990
C,50,68,187
R,92,82,446
V,73,15,926
R,85,85,778
T,67,95,657
S,18,72,64
V,38,72,34
Q,57,95,865
E,31,65,875
M,56,90,714
E,9,26,426
R,50,39,601
S,15,31,748
Y,54,18,355
Y,76,46,572
A,42,80,619
H,62,32,33
W,23,61,154
U,18,76,823
X,75,81,69
V,14,44,297
W,31,45,238
L,7,52,859
Z,76,3,516
R,29,96,573
P,33,14,42
R,10,93,531
T,85,45,45
W,57,32,323
W,64,87,886
L,34,65,863
P,4,6,658
G,63,79,40
H,71,17,640
M,91,24,186
Z,42,34,555
V,43,43,33
H,48,22,137
T,59,38,406
H,31,68,150
S,10,30,289
X,40,97,417
L,29,92,199
V,1,24,229
A,44,42,960
X,27,39,202
Y,38,42,801
X,4,72,892
N,17,38,834
H,42,40,469
P,22,27,923
B,28,25,359
K,15,94,876
Y,28,72,392
D,47,19,217
A,83,67,756
S,31,26,32
O,26,62,494
A,14,10,307
N,85,8,361
F,43,36,469
Q,54,53,6
N,63,10,87
W,45,1,494
N,81,37,929
M,1,15,710
X,61,12,157
O,53,88,95
O,44,59,795
J,11,90,170
V,20,36,260
K,82,78,50
H,88,93,148
Y,8,63,928
T,71,74,167
J,87,87,180
X,23,85,321
F,64,32,25
V,80,0,670
A,55,4,672
X,48,18,327
Q,3,69,186
I,25,26,64
W,85,33,211
D,24,80,946
K,83,76,18
L,37,0,641
S,55,61,570
D,34,14,250
H,51,93,36
D,72,22,175
W,86,3,722
X,67,55,916
G,1,52,179
F,96,11,30
N,1,65,128
J,8,8,214
B,66,40,887
P,85,30,304
Y,31,17,153
G,78,79,173
Q,12,28,986
L,62,45,397
E,13,33,658
Y,29,88,986
E,29,51,256
J,27,54,230
U,94,62,178
J,34,0,780
Z,82,47,75
Y,30,4,234
V,10,40,452
L,5,18,590
P,79,55,688
Q,11,86,506
E,8,42,530
H,27,56,128
J,20,95,572
R,21,60,68
J,76,71,404
F,68,93,639
R,90,90,215
W,86,45,179
V,77,88,198
J,39,12,206
B,77,75,603
M,8,68,644
F,63,85,383
L,62,40,473
J,44,31,583
C,73,58,247
K,70,64,518
U,38,81,1000
X,81,19,451
O,4,50,575
S,90,72,813
K,45,59,927
R,68,29,993
W,54,89,780
U,17,70,154
K,18,81,979
C,74,9,423
S,46,19,346
H,76,7,842
B,19,41,841
L,21,69,850
F,64,99,540
E,18,83,624
E,49,74,499
X,30,9,536
U,6,67,871
A,13,65,500
Y,6,99,590
C,15,32,174
H,22,77,91
T,22,63,861
U,23,36,999
Q,57,96,735
X,22,44,251
Z,50,20,442
R,12,37,895
X,87,68,846
H,37,96,399
T,99,13,561
A,7,16,547
Z,94,6,227
G,25,92,464
Y,11,64,301
J,74,77,591
M,59,68,538
L,56,39,52
Z,71,81,706
I,97,70,316
H,2,73,979
K,42,47,605
K,90,22,865
N,37,49,513
O,3,64,756
G,4,82,63
E,92,69,827
P,6,14,714
L,64,32,603
H,68,76,179
X,85,28,525
X,19,71,64
A,0,89,989
U,95,41,267
W,19,93,812
X,71,58,584
F,51,49,291
X,86,33,182
N,91,11,376
W,75,38,533
T,58,41,6
P,20,36,646
N,37,10,320
T,78,30,174
F,31,99,749
H,36,86,188
G,15,72,470
S,26,69,175
Z,40,18,267
D,54,90,560
I,1,58,481
H,58,7,490
H,97,69,122
A,5,48,183
C,84,5,466
P,60,73,584
D,16,36,401
U,69,51,800
U,57,1,11
R,31,19,925
D,56,17,136
Z,32,44,975
M,61,49,260
X,99,38,889
B,23,4,370
O,78,20,952
V,56,35,167
E,6,75,413
L,78,36,278
P,64,88,95
M,61,76,642
D,56,2,198
X,46,29,560
N,92,42,830
E,22,4,992
O,8,7,40
R,53,45,544
C,27,4,297
X,35,33,54
F,18,92,876
L,42,22,721
O,28,56,494
C,97,75,834
A,25,55,626
R,30,95,612
K,17,22,499
M,91,99,397
U,61,87,484
R,91,39,982
L,50,73,453
Q,90,70,365
M,81,4,844
U,2,12,706
B,4,88,802
I,55,86,570
D,34,73,158
E,86,76,453
G,23,19,905
T,0,57,349
B,90,97,668
G,23,56,202
H,33,92,892
X,96,98,669
P,5,13,935
A,59,78,842
A,35,89,495
Z,51,5,305
S,29,20,56
U,2,5,224
J,16,20,867
X,64,39,646
F,73,36,649
Y,89,29,55
V,64,73,999
U,13,29,343
D,91,86,38
R,14,28,621
U,73,91,60
Q,41,96,43
G,76,62,85
Z,6,23,114
B,99,30,164
Z,15,20,898
Z,3,34,420
P,59,56,867
D,94,30,984
T,96,99,142
S,75,66,442
J,29,12,1
F,45,65,334
Y,58,0,5
R,88,41,878
X,98,59,392
X,43,88,835
N,32,63,457
I,59,65,858
T,1,51,745
Y,87,25,816
U,64,34,527
V,21,60,933
X,62,60,416
B,36,79,21
H,84,12,115
V,13,35,892
F,95,31,747
H,55,41,715
L,64,49,374
K,64,37,323
S,22,93,320
Z,14,13,839
S,94,26,866
X,34,13,721
I,44,94,164
R,63,60,503
Y,12,62,436
M,85,28,505
H,33,83,278
A,61,62,847
A,17,92,222
S,73,33,716
G,78,88,186
M,92,65,309
V,12,32,387
U,26,20,93
G,62,10,624
J,52,83,172
B,17,43,999
Z,23,24,941
P,51,65,81
C,82,72,170
L,30,83,999
X,22,24,228
J,45,55,293
P,99,83,534
P,28,24,649
N,84,79,405
R,31,13,89
Z,78,58,447
K,43,39,897
I,64,74,546
R,7,67,419
J,81,61,442
B,31,3,915
J,59,42,521
R,39,66,30
Q,63,26,454
N,75,25,829
R,61,70,590
K,85,76,144
Z,33,59,566
L,34,99,558
J,43,82,759
U,30,36,486
E,31,34,345
Q,94,53,576
T,21,88,92
L,11,48,999
B,78,62,338
X,28,26,820
Q,91,30,888
A,55,8,619
T,0,20,821
W,91,34,605
K,75,47,212
J,11,46,336
C,63,77,508
I,57,62,313
Z,67,33,757
V,26,70,418
H,17,34,87
S,16,15,604
Q,23,68,219
Z,96,9,897
C,57,17,140
B,44,52,440
V,68,38,287
F,49,10,800
W,4,87,619
W,0,68,419
U,6,55,172
M,45,71,187
S,36,0,629
A,71,38,345
A,9,93,906
O,19,9,324
V,17,84,562
E,37,26,462
O,60,26,376
A,11,19,725
Z,9,6,109
S,36,90,634
C,87,28,65
S,37,22,33
C,74,25,700
E,72,20,503
I,19,56,445
S,18,65,389
C,0,87,417
T,51,25,258
Q,88,85,613
M,35,44,241
N,50,52,903
N,19,86,697
D,98,10,305
E,44,37,726
B,68,17,568
N,20,89,959
N,21,49,307
P,20,65,869
G,80,41,160
J,61,72,864
K,40,66,265
X,90,12,695
Q,41,99,923
Z,52,23,728
N,25,96,890
L,58,84,120
R,25,14,374
T,4,29,265
Y,52,67,472
U,76,37,978
O,91,86,293
T,92,50,161
K,10,65,927
H,46,38,457
D,64,18,367
B,60,66,253
A,86,54,793
E,32,53,298
M,91,49,58
Q,79,25,915
X,74,79,461
S,81,7,916
O,48,75,762
U,46,18,978
U,50,44,753
H,98,44,985
Y,64,61,884
Q,62,40,64
H,5,76,890
Y,87,81,511
G,93,55,340
A,63,31,813
V,76,19,870
B,50,35,31
H,97,96,138
K,71,72,805
K,5,45,573
F,43,98,886
C,31,77,806
Y,58,13,597
B,21,38,828
B,98,4,297
G,56,11,763
M,67,89,979
V,76,28,398
E,36,22,167
H,15,4,910
D,93,59,771
K,96,78,114
O,32,70,14
X,75,2,644
C,98,47,911
O,70,36,644
U,25,62,503
T,50,72,568
H,42,12,459
M,78,58,763
K,72,36,954
D,49,77,270
L,78,62,707
G,15,49,612
O,67,49,71
S,82,20,626
D,11,58,975
U,59,40,771
W,2,30,352
F,20,54,923
K,1,46,853
P,12,86,507
L,14,79,944
U,44,82,852
S,12,35,939
J,67,54,355
E,53,60,502
I,20,76,735
F,83,92,990
H,85,54,322
K,51,91,886
L,95,83,702
E,25,16,645
R,61,39,879
J,88,28,230
W,53,97,196
F,31,36,729
N,24,77,972
T,28,88,249
G,14,64,743
T,49,43,792
P,47,68,824
Z,55,65,468
H,30,29,883
G,78,4,353
N,56,42,611
E,6,70,951
F,19,80,792
Y,67,70,29
X,58,77,700
O,45,26,441
D,57,10,794
B,14,55,920
U,7,78,829
V,24,84,10
J,21,64,437
Y,70,32,759
A,30,7,1000
A,75,22,74
G,28,20,166
W,89,4,730
K,37,93,98
S,47,33,385
J,3,28,535
O,97,30,835
G,92,43,635
S,5,22,335
L,92,74,611
A,69,60,310
Q,95,96,573
X,57,38,897
D,57,63,994
X,73,59,681
V,17,86,412
G,34,25,63
F,58,4,576
R,89,14,321
R,73,13,599
S,82,39,151
I,71,16,956
T,29,21,479
P,55,71,687
D,11,8,332
X,51,35,65
Y,62,14,597
M,79,30,759
S,70,32,994
Y,93,65,374
Z,81,94,973
W,99,38,917
P,6,55,166
O,42,45,372
Q,6,1,266
I,2,40,155
L,88,57,147
K,4,47,980
U,58,61,359
M,61,5,170
X,45,87,448
I,1,60,140
F,27,83,52
Q,17,43,235
I,71,77,751
V,7,22,889
U,29,22,536
E,31,3,408
S,15,40,744
D,67,69,674
R,75,75,324
H,6,79,196
Y,82,45,468
K,14,99,398
K,42,37,863
L,9,83,279
N,36,10,580
L,37,29,532
G,18,27,59
K,65,77,693
J,7,37,525
E,10,68,431
W,80,8,95
E,59,41,991
Q,96,23,561
R,54,19,926
X,82,51,397
T,35,40,97
K,62,70,161
H,24,6,513
B,84,83,692
M,59,45,503
E,10,39,837
X,18,73,371
H,19,88,77
B,16,33,774
X,25,92,59
D,96,72,46
