U,6,9,4836
H,77,15,6226
G,38,20,2862
W,93,10,3000
S,13,0,4011
K,55,68,4675
N,94,28,6345
Z,58,0,5470
Q,32,71,4089
L,54,24,524
J,58,90,5342
P,30,16,6948
U,38,54,2454
G,76,12,1859
F,31,77,5387
O,74,57,3442
U,5,6,5457
N,87,23,4042
S,47,90,3132
U,6,87,383
C,44,57,5473
L,21,37,1987
L,83,35,4655
U,30,5,60
Y,88,88,6064
W,59,93,5490
E,89,70,3656
L,22,90,5952
B,50,18,4463
I,31,26,1059
F,0,38,592
O,15,33,375
Q,63,10,4864
J,39,68,3902
U,17,25,2956
Z,26,74,4681
W,20,2,4507
F,34,20,2887
D,88,45,5246
J,24,44,6448
O,50,71,698
S,63,73,3673
S,70,19,6455
K,43,8,693
S,7,90,4079
C,15,36,5441
F,65,14,75
B,49,7,3850
Y,94,52,2189
G,5,93,868
I,48,40,192
T,96,46,1350
R,16,79,5416
T,0,36,2982
J,24,21,5900
I,95,51,5151
J,3,31,394
D,41,86,6846
E,0,87,2605
X,78,59,2177
M,81,32,197
S,93,19,3456
R,3,58,3034
W,42,71,4807
N,41,60,416
I,42,37,2498
Z,87,94,6034
G,64,52,5527
O,6,67,1318
V,68,5,3997
Q,71,84,531
U,40,61,6171
B,3,51,6854
Q,67,55,5651
A,67,22,4249
E,45,20,1023
L,39,12,308
A,95,32,6523
E,68,80,2543
E,64,81,1071
S,17,41,719
I,89,10,4038
X,48,59,6997
D,58,42,2841
P,16,79,2352
U,84,57,5954
O,34,70,6998
L,18,68,5765
G,64,22,6591
L,9,84,4142
G,98,52,6938
E,31,23,448
L,87,89,639
J,40,58,5412
G,43,28,6955
Y,78,63,4362
Y,58,26,630
J,17,20,4334
Z,99,27,4474
Q,37,62,733
D,22,39,4877
V,69,23,194
Z,91,88,2692
X,96,42,6077
X,60,95,3550
Z,74,82,3646
I,82,13,5133
L,89,3,692
G,20,61,5318
P,58,90,5993
F,44,20,2704
M,94,76,3378
L,46,69,2682
Q,34,13,5773
V,18,25,112
H,40,90,6469
X,82,63,589
H,7,39,6717
N,53,21,2989
V,60,85,655
A,64,17,1606
Z,5,9,1774
T,14,23,4786
J,95,78,1
W,66,70,5234
E,47,64,2358
Q,74,11,5890
U,69,1,1150
H,20,27,5265
T,95,85,6179
L,98,99,6739
F,5,2,721
P,19,34,5920
P,84,1,660
W,3,30,2253
K,61,29,3040
M,70,17,4149
P,84,93,5766
Z,48,5,881
P,90,84,4445
R,98,45,2877
L,42,26,5382
E,81,13,1000
T,96,94,1132
N,97,88,6275
S,78,3,6457
L,98,95,3684
L,4,16,6183
B,1,83,4424
V,91,29,373
N,18,36,842
Y,7,88,5010
M,12,33,6282
R,91,21,3062
P,65,97,2420
D,15,92,5343
X,1,89,1093
E,17,28,168
Y,87,43,5261
H,65,82,4059
N,34,12,2265
T,3,6,6430
R,48,31,900
J,98,31,1217
P,74,52,3428
Y,46,15,4909
W,59,74,605
M,65,0,6471
B,90,81,5044
N,61,43,5675
O,94,31,2117
M,34,12,5062
K,6,34,2293
C,25,23,2648
X,9,80,6926
A,0,63,5810
E,6,28,2526
A,67,98,3463
C,98,11,4394
P,51,41,4738
B,18,45,6813
A,55,64,6163
A,93,48,1830
W,85,68,653
V,66,28,3351
T,23,52,4436
B,52,83,6008
R,55,8,6688
J,1,42,2608
R,16,17,4196
K,96,73,6376
E,64,73,4905
U,73,55,5878
M,84,44,4546
K,4,51,4222
W,58,99,5010
B,59,53,4737
P,88,39,4876
U,27,96,194
G,21,22,602
P,11,29,312
R,8,5,1259
V,95,90,3556
Y,24,99,1429
P,33,70,921
M,52,3,66
L,68,96,3630
L,8,94,947
U,85,36,3310
W,44,93,1157
R,77,95,5500
P,14,68,4051
Z,84,19,4158
B,93,86,4512
X,80,82,130
C,78,91,391
X,3,55,1161
K,31,53,317
E,71,27,5877
V,89,27,6870
J,6,45,6524
V,34,35,3768
Y,90,26,1271
Y,66,10,1541
M,55,39,6081
Q,4,23,4786
H,67,62,619
Y,2,81,4522
G,88,26,1773
V,98,63,4260
H,44,54,2743
Q,67,73,2568
U,7,13,3056
V,31,63,4978
T,79,85,2940
A,79,13,2616
A,55,9,2004
L,29,44,5241
Z,85,20,5258
U,77,67,781
A,95,88,325
C,62,16,4157
K,71,63,5301
Z,37,85,5796
P,40,69,960
F,50,48,6244
K,42,4,2907
S,83,4,2511
R,20,43,4420
M,21,99,6457
G,16,35,3993
C,47,16,4867
L,64,37,641
Z,52,84,1982
E,28,82,5455
S,22,36,4794
H,18,38,6754
